id,invoice_id,gl_account_code,amount_cents,customer_vendor_name,entry_date,doc_type
GL-00046,ORD-EXACT-1045,1010-CASH,731751,Oceanic Airlines,2026-08-22,PAYMENT
GL-00047,ORD-EXACT-1046,1010-CASH,89870,Sterling Cooper,2026-08-21,PAYMENT
GL-00048,ORD-EXACT-1047,1010-CASH,680822,Prestige Worldwide,2026-08-07,PAYMENT
GL-00049,ORD-EXACT-1048,1010-CASH,575086,Weyland Yutani,2026-08-25,PAYMENT
GL-00050,ORD-EXACT-1049,1010-CASH,271702,Buy N Large,2026-08-07,PAYMENT
GL-00051,INV-2026-0001,2010-AP,-509714,Datadog Inc,2026-08-18,PAYMENT
GL-00052,INV-2026-0002,2010-AP,-696088,Snowflake Inc,2026-08-22,PAYMENT
GL-00053,INV-2026-0003,2010-AP,-742870,Figma Design,2026-08-14,PAYMENT
GL-00054,INV-2026-0004,2010-AP,-265174,Slack Technologies,2026-08-07,PAYMENT
GL-00055,INV-2026-0005,2010-AP,-445651,GitHub Inc,2026-08-12,PAYMENT
GL-00056,INV-2026-0006,2010-AP,-246231,Atlassian Corp,2026-08-24,PAYMENT
GL-00057,INV-2026-0007,2010-AP,-247955,Twilio API,2026-08-22,PAYMENT
GL-00058,INV-2026-0008,2010-AP,-699079,Zoom Video,2026-08-19,PAYMENT
GL-00059,INV-2026-0009,2010-AP,-302746,Notion Labs,2026-08-09,PAYMENT
GL-00060,INV-2026-0010,2010-AP,-806177,Fastly CDN,2026-08-25,PAYMENT
GL-00061,INV-2026-0011,2010-AP,-300504,Vercel Inc,2026-08-25,PAYMENT
GL-00062,INV-2026-0012,2010-AP,-636878,Cloudflare DNS,2026-08-18,PAYMENT
GL-00063,INV-2026-0013,2010-AP,-254974,Docker Inc,2026-08-12,PAYMENT
GL-00064,INV-2026-0014,2010-AP,-542488,MongoDB Atlas,2026-08-06,PAYMENT
GL-00065,INV-2026-0015,2010-AP,-927931,PagerDuty Operations,2026-08-08,PAYMENT
GL-00066,INV-2026-0016,2010-AP,-682924,Supabase Inc,2026-08-12,PAYMENT
GL-00067,INV-2026-0017,2010-AP,-650380,Postman Inc,2026-08-09,PAYMENT
GL-00068,INV-2026-0018,2010-AP,-425156,Stripe Infrastructure,2026-08-26,PAYMENT
GL-00069,INV-2026-0019,2010-AP,-579816,OpenAI LLC,2026-08-16,PAYMENT
GL-00070,INV-2026-0020,2010-AP,-927592,Linear Orbit,2026-08-04,PAYMENT
GL-00071,INV-2026-0021,2010-AP,-739825,Retool Inc,2026-08-23,PAYMENT
GL-00072,INV-2026-0022,2010-AP,-830934,Redis Labs,2026-08-14,PAYMENT
GL-00073,INV-2026-0023,2010-AP,-332757,Sentry Dev,2026-08-18,PAYMENT
GL-00074,INV-2026-0024,2010-AP,-500763,HashiCorp Inc,2026-08-06,PAYMENT
GL-00075,INV-2026-0025,2010-AP,-549902,Elastic NV,2026-08-13,PAYMENT
GL-00076,INV-2026-0026,2010-AP,-136579,Datadog Inc,2026-08-17,PAYMENT
GL-00077,INV-2026-0027,2010-AP,-663551,Snowflake Inc,2026-08-11,PAYMENT
GL-00078,INV-2026-0028,2010-AP,-417077,Figma Design,2026-08-13,PAYMENT
GL-00079,INV-2026-0029,2010-AP,-841449,Slack Technologies,2026-08-20,PAYMENT
GL-00080,INV-2026-0030,2010-AP,-653038,GitHub Inc,2026-08-17,PAYMENT
GL-00081,INV-2026-0031,2010-AP,-45422,Atlassian Corp,2026-08-09,PAYMENT
GL-00082,INV-2026-0032,2010-AP,-946406,Twilio API,2026-08-14,PAYMENT
GL-00083,INV-2026-0033,2010-AP,-85738,Zoom Video,2026-08-15,PAYMENT
GL-00084,INV-2026-0034,2010-AP,-107582,Notion Labs,2026-08-09,PAYMENT
GL-00085,INV-2026-0035,2010-AP,-880662,Fastly CDN,2026-08-10,PAYMENT
GL-00086,INV-2026-0036,2010-AP,-828035,Vercel Inc,2026-08-09,PAYMENT
GL-00087,INV-2026-0037,2010-AP,-716798,Cloudflare DNS,2026-08-23,PAYMENT
GL-00088,INV-2026-0038,2010-AP,-198148,Docker Inc,2026-08-16,PAYMENT
GL-00089,INV-2026-0039,2010-AP,-939812,MongoDB Atlas,2026-08-26,PAYMENT
GL-00090,INV-2026-0040,2010-AP,-247086,PagerDuty Operations,2026-08-22,PAYMENT
GL-00091,INV-2026-0041,2010-AP,-772581,Supabase Inc,2026-08-16,PAYMENT
GL-00092,INV-2026-0042,2010-AP,-729314,Postman Inc,2026-08-18,PAYMENT
GL-00093,INV-2026-0043,2010-AP,-567717,Stripe Infrastructure,2026-08-18,PAYMENT
GL-00094,INV-2026-0044,2010-AP,-284947,OpenAI LLC,2026-08-11,PAYMENT
GL-00095,INV-2026-0045,2010-AP,-379508,Linear Orbit,2026-08-08,PAYMENT
GL-00096,INV-2026-0046,2010-AP,-605828,Retool Inc,2026-08-15,PAYMENT
GL-00097,INV-2026-0047,2010-AP,-255914,Redis Labs,2026-08-04,PAYMENT
GL-00098,INV-2026-0048,2010-AP,-767225,Sentry Dev,2026-08-06,PAYMENT
GL-00099,INV-2026-0049,2010-AP,-95674,HashiCorp Inc,2026-08-07,PAYMENT
GL-00100,INV-2026-0050,2010-AP,-99299,Elastic NV,2026-08-21,PAYMENT
GL-00101,ORD-STRIPE-4000,4000-REVENUE,154002,STRIPE PAYMENTS,2026-08-24,INVOICE
GL-00102,ORD-STRIPE-4001,4000-REVENUE,262496,STRIPE PAYMENTS,2026-08-09,INVOICE
GL-00103,ORD-STRIPE-4002,4000-REVENUE,290713,STRIPE PAYMENTS,2026-08-07,INVOICE
GL-00104,ORD-STRIPE-4003,4000-REVENUE,387245,STRIPE PAYMENTS,2026-08-21,INVOICE
GL-00105,ORD-STRIPE-4004,4000-REVENUE,310100,STRIPE PAYMENTS,2026-08-18,INVOICE
GL-00106,ORD-STRIPE-4005,4000-REVENUE,135400,STRIPE PAYMENTS,2026-08-18,INVOICE
GL-00107,ORD-STRIPE-4006,4000-REVENUE,221416,STRIPE PAYMENTS,2026-08-09,INVOICE
GL-00108,ORD-STRIPE-4007,4000-REVENUE,57453,STRIPE PAYMENTS,2026-08-06,INVOICE
GL-00109,ORD-STRIPE-4008,4000-REVENUE,353496,STRIPE PAYMENTS,2026-08-16,INVOICE
GL-00110,ORD-STRIPE-4009,4000-REVENUE,193753,STRIPE PAYMENTS,2026-08-16,INVOICE
GL-00111,ORD-STRIPE-4010,4000-REVENUE,223535,STRIPE PAYMENTS,2026-08-17,INVOICE
GL-00112,ORD-STRIPE-4011,4000-REVENUE,390245,STRIPE PAYMENTS,2026-08-04,INVOICE
GL-00113,ORD-STRIPE-4012,4000-REVENUE,361036,STRIPE PAYMENTS,2026-08-23,INVOICE
GL-00114,ORD-STRIPE-4013,4000-REVENUE,346784,STRIPE PAYMENTS,2026-08-06,INVOICE
GL-00115,ORD-STRIPE-4014,4000-REVENUE,39778,STRIPE PAYMENTS,2026-08-15,INVOICE
GL-00116,ORD-STRIPE-4015,4000-REVENUE,389793,STRIPE PAYMENTS,2026-08-13,INVOICE
GL-00117,ORD-STRIPE-4016,4000-REVENUE,65288,STRIPE PAYMENTS,2026-08-10,INVOICE
GL-00118,ORD-STRIPE-4017,4000-REVENUE,108448,STRIPE PAYMENTS,2026-08-09,INVOICE
GL-00119,ORD-STRIPE-4018,4000-REVENUE,289168,STRIPE PAYMENTS,2026-08-17,INVOICE
GL-00120,ORD-STRIPE-4019,4000-REVENUE,81495,STRIPE PAYMENTS,2026-08-16,INVOICE
GL-00121,ORD-STRIPE-4020,4000-REVENUE,104200,STRIPE PAYMENTS,2026-08-11,INVOICE
GL-00122,ORD-STRIPE-4021,4000-REVENUE,250550,STRIPE PAYMENTS,2026-08-10,INVOICE
GL-00123,ORD-STRIPE-4022,4000-REVENUE,47523,STRIPE PAYMENTS,2026-08-17,INVOICE
GL-00124,ORD-STRIPE-4023,4000-REVENUE,296528,STRIPE PAYMENTS,2026-08-06,INVOICE
GL-00125,ORD-STRIPE-4024,4000-REVENUE,34522,STRIPE PAYMENTS,2026-08-23,INVOICE
GL-00126,ORD-STRIPE-4025,4000-REVENUE,291423,STRIPE PAYMENTS,2026-08-03,INVOICE
GL-00127,ORD-STRIPE-4026,4000-REVENUE,56896,STRIPE PAYMENTS,2026-08-10,INVOICE
GL-00128,ORD-STRIPE-4027,4000-REVENUE,95194,STRIPE PAYMENTS,2026-08-16,INVOICE
GL-00129,ORD-STRIPE-4028,4000-REVENUE,262615,STRIPE PAYMENTS,2026-08-18,INVOICE
GL-00130,ORD-STRIPE-4029,4000-REVENUE,120065,STRIPE PAYMENTS,2026-08-15,INVOICE
GL-00131,ORD-STRIPE-4030,4000-REVENUE,38741,STRIPE PAYMENTS,2026-08-08,INVOICE
GL-00132,ORD-STRIPE-4031,4000-REVENUE,206691,STRIPE PAYMENTS,2026-08-03,INVOICE
GL-00133,ORD-STRIPE-4032,4000-REVENUE,212693,STRIPE PAYMENTS,2026-08-11,INVOICE
GL-00134,ORD-STRIPE-4033,4000-REVENUE,419078,STRIPE PAYMENTS,2026-08-17,INVOICE
GL-00135,ORD-BUNDLE-7000,4000-REVENUE,84845,STRIPE MERCHANT BUNDLE,2026-08-14,INVOICE
GL-00136,ORD-BUNDLE-7001,4000-REVENUE,75788,STRIPE MERCHANT BUNDLE,2026-08-14,INVOICE
GL-00137,ORD-BUNDLE-7002,4000-REVENUE,32289,STRIPE MERCHANT BUNDLE,2026-08-14,INVOICE
GL-00138,ORD-BUNDLE-7010,4000-REVENUE,40534,STRIPE MERCHANT BUNDLE,2026-08-11,INVOICE
GL-00139,ORD-BUNDLE-7011,4000-REVENUE,19665,STRIPE MERCHANT BUNDLE,2026-08-11,INVOICE
GL-00140,ORD-BUNDLE-7012,4000-REVENUE,87914,STRIPE MERCHANT BUNDLE,2026-08-11,INVOICE
GL-00141,ORD-BUNDLE-7020,4000-REVENUE,53104,STRIPE MERCHANT BUNDLE,2026-08-22,INVOICE
GL-00142,ORD-BUNDLE-7021,4000-REVENUE,19492,STRIPE MERCHANT BUNDLE,2026-08-22,INVOICE
GL-00143,ORD-BUNDLE-7030,4000-REVENUE,74493,STRIPE MERCHANT BUNDLE,2026-08-06,INVOICE
GL-00144,ORD-BUNDLE-7031,4000-REVENUE,77909,STRIPE MERCHANT BUNDLE,2026-08-06,INVOICE
GL-00145,ORD-BUNDLE-7032,4000-REVENUE,81615,STRIPE MERCHANT BUNDLE,2026-08-06,INVOICE
GL-00146,ORD-BUNDLE-7033,4000-REVENUE,32635,STRIPE MERCHANT BUNDLE,2026-08-06,INVOICE
GL-00147,ORD-BUNDLE-7040,4000-REVENUE,22500,STRIPE MERCHANT BUNDLE,2026-08-06,INVOICE
GL-00148,ORD-BUNDLE-7041,4000-REVENUE,36356,STRIPE MERCHANT BUNDLE,2026-08-06,INVOICE
GL-00149,ORD-BUNDLE-7042,4000-REVENUE,20981,STRIPE MERCHANT BUNDLE,2026-08-06,INVOICE
GL-00150,ORD-BUNDLE-7043,4000-REVENUE,89992,STRIPE MERCHANT BUNDLE,2026-08-06,INVOICE
GL-00151,ORD-BUNDLE-7050,4000-REVENUE,42828,STRIPE MERCHANT BUNDLE,2026-08-07,INVOICE
GL-00152,ORD-BUNDLE-7051,4000-REVENUE,64923,STRIPE MERCHANT BUNDLE,2026-08-07,INVOICE
GL-00153,ORD-BUNDLE-7052,4000-REVENUE,27713,STRIPE MERCHANT BUNDLE,2026-08-07,INVOICE
GL-00154,ORD-BUNDLE-7053,4000-REVENUE,86668,STRIPE MERCHANT BUNDLE,2026-08-07,INVOICE
GL-00155,ORD-BUNDLE-7060,4000-REVENUE,89924,STRIPE MERCHANT BUNDLE,2026-08-12,INVOICE
GL-00156,ORD-BUNDLE-7061,4000-REVENUE,17209,STRIPE MERCHANT BUNDLE,2026-08-12,INVOICE
GL-00157,ORD-BUNDLE-7062,4000-REVENUE,93183,STRIPE MERCHANT BUNDLE,2026-08-12,INVOICE
GL-00158,ORD-BUNDLE-7063,4000-REVENUE,22745,STRIPE MERCHANT BUNDLE,2026-08-12,INVOICE
GL-00159,ORD-BUNDLE-7070,4000-REVENUE,88503,STRIPE MERCHANT BUNDLE,2026-08-18,INVOICE
GL-00160,ORD-BUNDLE-7071,4000-REVENUE,86085,STRIPE MERCHANT BUNDLE,2026-08-18,INVOICE
GL-00161,ORD-BUNDLE-7072,4000-REVENUE,80522,STRIPE MERCHANT BUNDLE,2026-08-18,INVOICE
GL-00162,ORD-BUNDLE-7073,4000-REVENUE,53467,STRIPE MERCHANT BUNDLE,2026-08-18,INVOICE
GL-00163,ORD-BUNDLE-7080,4000-REVENUE,53180,STRIPE MERCHANT BUNDLE,2026-08-13,INVOICE
GL-00164,ORD-BUNDLE-7081,4000-REVENUE,43285,STRIPE MERCHANT BUNDLE,2026-08-13,INVOICE
GL-00165,ORD-BUNDLE-7090,4000-REVENUE,29154,STRIPE MERCHANT BUNDLE,2026-08-13,INVOICE
GL-00166,ORD-BUNDLE-7091,4000-REVENUE,51321,STRIPE MERCHANT BUNDLE,2026-08-13,INVOICE
GL-00167,ORD-BUNDLE-7092,4000-REVENUE,71929,STRIPE MERCHANT BUNDLE,2026-08-13,INVOICE
GL-00168,ORD-BUNDLE-7100,4000-REVENUE,13220,STRIPE MERCHANT BUNDLE,2026-08-15,INVOICE
GL-00169,ORD-BUNDLE-7101,4000-REVENUE,72068,STRIPE MERCHANT BUNDLE,2026-08-15,INVOICE
GL-00170,ORD-BUNDLE-7110,4000-REVENUE,25104,STRIPE MERCHANT BUNDLE,2026-08-24,INVOICE
GL-00171,ORD-BUNDLE-7111,4000-REVENUE,21602,STRIPE MERCHANT BUNDLE,2026-08-24,INVOICE
GL-00172,ORD-BUNDLE-7112,4000-REVENUE,82468,STRIPE MERCHANT BUNDLE,2026-08-24,INVOICE
GL-00173,ORD-BUNDLE-7113,4000-REVENUE,39938,STRIPE MERCHANT BUNDLE,2026-08-24,INVOICE
GL-00174,ORD-BUNDLE-7120,4000-REVENUE,29361,STRIPE MERCHANT BUNDLE,2026-08-21,INVOICE
GL-00175,ORD-BUNDLE-7121,4000-REVENUE,57745,STRIPE MERCHANT BUNDLE,2026-08-21,INVOICE
GL-00176,ORD-BUNDLE-7122,4000-REVENUE,21016,STRIPE MERCHANT BUNDLE,2026-08-21,INVOICE
GL-00177,ORD-BUNDLE-7130,4000-REVENUE,49353,STRIPE MERCHANT BUNDLE,2026-08-12,INVOICE
GL-00178,ORD-BUNDLE-7131,4000-REVENUE,32676,STRIPE MERCHANT BUNDLE,2026-08-12,INVOICE
GL-00179,ORD-BUNDLE-7132,4000-REVENUE,69433,STRIPE MERCHANT BUNDLE,2026-08-12,INVOICE
GL-00180,ORD-BUNDLE-7140,4000-REVENUE,51651,STRIPE MERCHANT BUNDLE,2026-08-22,INVOICE
GL-00181,ORD-BUNDLE-7141,4000-REVENUE,92173,STRIPE MERCHANT BUNDLE,2026-08-22,INVOICE
GL-00182,ORD-BUNDLE-7142,4000-REVENUE,81329,STRIPE MERCHANT BUNDLE,2026-08-22,INVOICE
GL-00183,ORD-BUNDLE-7143,4000-REVENUE,13025,STRIPE MERCHANT BUNDLE,2026-08-22,INVOICE
GL-00184,ORD-BUNDLE-7150,4000-REVENUE,51240,STRIPE MERCHANT BUNDLE,2026-08-26,INVOICE
GL-00185,ORD-BUNDLE-7151,4000-REVENUE,25577,STRIPE MERCHANT BUNDLE,2026-08-26,INVOICE
GL-00186,ORD-BUNDLE-7152,4000-REVENUE,29601,STRIPE MERCHANT BUNDLE,2026-08-26,INVOICE
GL-00187,ORD-BUNDLE-7153,4000-REVENUE,46664,STRIPE MERCHANT BUNDLE,2026-08-26,INVOICE
GL-00188,INV-2026-0051,6010-CLOUD-INFRA,-130200,AMAZON WEB SERVICES,2026-08-11,PAYMENT
GL-00189,INV-2026-0052,6010-CLOUD-INFRA,-108800,DATADOG,2026-08-12,PAYMENT
GL-00190,INV-2026-0053,6010-CLOUD-INFRA,-178800,SHOPIFY,2026-08-13,PAYMENT
GL-00191,INV-2026-0054,6010-CLOUD-INFRA,-306000,SOFTBANK,2026-08-14,PAYMENT
GL-00192,INV-2026-0055,6010-CLOUD-INFRA,-106400,CANVA,2026-08-15,PAYMENT
GL-00193,INV-2026-0056,6010-CLOUD-INFRA,-107825,LOGITECH,2026-08-16,PAYMENT
GL-00194,INV-2026-0057,6010-CLOUD-INFRA,-236220,GRAB,2026-08-17,PAYMENT
GL-00195,INV-2026-0058,6010-CLOUD-INFRA,-202020,SPOTIFY,2026-08-18,PAYMENT
GL-00196,INV-2026-0059,6020-SOFTWARE-SAAS,-450000,MICROSOFT AZURE,2026-08-13,PAYMENT
GL-00197,INV-2026-0060,6020-SOFTWARE-SAAS,-320000,GOOGLE CLOUD PLATFORM,2026-08-14,PAYMENT
GL-00198,INV-2026-0061,6020-SOFTWARE-SAAS,-580000,SNOWFLAKE,2026-08-15,PAYMENT
GL-00199,INV-2026-0062,6020-SOFTWARE-SAAS,-275000,AMAZON WEB SERVICES,2026-08-16,PAYMENT
GL-00200,INV-2026-0063,6020-SOFTWARE-SAAS,-195000,STRIPE,2026-08-17,PAYMENT
GL-00201,INV-2026-0064,6020-SOFTWARE-SAAS,-340000,DATADOG,2026-08-18,PAYMENT
GL-00202,INV-2026-0065,6020-SOFTWARE-SAAS,-210000,AMAZON WEB SERVICES,2026-08-19,PAYMENT
GL-00203,INV-2026-0066,6020-SOFTWARE-SAAS,-410000,GOOGLE CLOUD PLATFORM,2026-08-20,PAYMENT
GL-00204,INV-2026-0067,2010-AP,-175000,FIGMA DESIGN,2026-08-21,PAYMENT
GL-00205,INV-2026-0068,2010-AP,-240000,ATLASSIAN CORP,2026-08-22,PAYMENT
GL-00206,INV-2026-0069,2010-AP,-120000,DOCKER INC,2026-08-23,PAYMENT
GL-00207,INV-2026-0070,2010-AP,-98000,SLACK TECHNOLOGIES,2026-08-22,PAYMENT
GL-00208,INV-2026-0070,2010-AP,-98000,SLACK TECHNOLOGIES,2026-08-22,PAYMENT
GL-00209,INV-2026-0071,2010-AP,-145000,NOTION LABS,2026-08-23,PAYMENT
GL-00210,INV-2026-0071,2010-AP,-145000,NOTION LABS,2026-08-23,PAYMENT
GL-00211,INV-2026-0072,2010-AP,-210000,CLOUDFLARE DNS,2026-08-24,PAYMENT
GL-00212,INV-2026-0072,2010-AP,-210000,CLOUDFLARE DNS,2026-08-24,PAYMENT
GL-00213,ORD-MISS-3001,4000-REVENUE,145000,ORPHAN CUSTOMER,2026-08-06,INVOICE
GL-00214,ORD-MISS-3002,4000-REVENUE,220000,ORPHAN CUSTOMER,2026-08-08,INVOICE
GL-00215,ORD-MISS-3003,4000-REVENUE,98000,ORPHAN CUSTOMER,2026-08-10,INVOICE
GL-00216,ORD-MISS-3004,4000-REVENUE,315000,ORPHAN CUSTOMER,2026-08-12,INVOICE
GL-00217,INV-2026-0073,2010-AP,210000,VERCEL INC,2026-08-08,INVOICE
GL-00218,INV-2026-0074,2010-AP,340000,MONGODB ATLAS,2026-08-10,INVOICE
GL-00219,INV-2026-0075,2010-AP,165000,FASTLY CDN,2026-08-12,INVOICE
GL-00220,INV-2026-0076,2010-AP,280000,TWILIO API,2026-08-14,INVOICE
GL-00221,ORD-UNEXP-5001,1010-CASH,300000,Acme Corp,2026-08-24,PAYMENT
GL-00222,ORD-UNEXP-5002,1010-CASH,500000,Acme Corp,2026-08-25,PAYMENT
GL-00223,ORD-UNEXP-5003,1010-CASH,420000,Acme Corp,2026-08-26,PAYMENT
GL-00224,ORD-REF-7001,4010-SALES-RETURNS,-15000,RETURN CUSTOMER,2026-08-23,CREDIT_MEMO
GL-00225,ORD-REF-7002,4010-SALES-RETURNS,-22000,RETURN CUSTOMER,2026-08-24,CREDIT_MEMO
GL-00226,ORD-REF-7003,4010-SALES-RETURNS,-34000,RETURN CUSTOMER,2026-08-25,CREDIT_MEMO
GL-00227,ORD-REF-7004,4010-SALES-RETURNS,-18000,RETURN CUSTOMER,2026-08-26,CREDIT_MEMO
GL-00228,ORD-PART-8001,4010-SALES-RETURNS,-7500,PARTIAL RETURN CUSTOMER,2026-08-26,CREDIT_MEMO
GL-00229,ORD-PART-8002,4010-SALES-RETURNS,-9500,PARTIAL RETURN CUSTOMER,2026-08-27,CREDIT_MEMO
GL-00230,ORD-PART-8003,4010-SALES-RETURNS,-11000,PARTIAL RETURN CUSTOMER,2026-08-28,CREDIT_MEMO
GL-00231,ORD-TAX-9001,4000-REVENUE,108250,TAXABLE CUSTOMER LLC,2026-08-27,INVOICE
GL-00232,ORD-TAX-9002,4000-REVENUE,216500,TAXABLE CUSTOMER LLC,2026-08-28,INVOICE
GL-00233,ORD-TAX-9003,4000-REVENUE,162375,TAXABLE CUSTOMER LLC,2026-08-29,INVOICE
GL-00234,ORD-TAX-9004,4000-REVENUE,303100,TAXABLE CUSTOMER LLC,2026-08-30,INVOICE
GL-00235,ORD-TIMING-10001,4000-REVENUE,350000,END OF MONTH CLIENT,2026-08-31,INVOICE
GL-00236,ORD-TIMING-10002,4000-REVENUE,280000,END OF MONTH CLIENT,2026-08-31,INVOICE
GL-00237,ORD-TIMING-10003,4000-REVENUE,410000,END OF MONTH CLIENT,2026-08-31,INVOICE
