id,order_id,gross_amount_cents,fee_cents,tax_cents,net_amount_cents,payout_batch_id,status,created_date,settled_date
GTW-0059,ORD-STRIPE-4008,353496,10281,0,343215,po_stripe_5008,succeeded,,
GTW-0060,ORD-STRIPE-4009,193753,5649,0,188104,po_stripe_5009,succeeded,,
GTW-0061,ORD-STRIPE-4010,223535,6513,0,217022,po_stripe_5010,succeeded,,
GTW-0062,ORD-STRIPE-4011,390245,11347,0,378898,po_stripe_5011,succeeded,,
GTW-0063,ORD-STRIPE-4012,361036,10500,0,350536,po_stripe_5012,succeeded,,
GTW-0064,ORD-STRIPE-4013,346784,10087,0,336697,po_stripe_5013,succeeded,,
GTW-0065,ORD-STRIPE-4014,39778,1184,0,38594,po_stripe_5014,succeeded,,
GTW-0066,ORD-STRIPE-4015,389793,11334,0,378459,po_stripe_5015,succeeded,,
GTW-0067,ORD-STRIPE-4016,65288,1923,0,63365,po_stripe_5016,succeeded,,
GTW-0068,ORD-STRIPE-4017,108448,3175,0,105273,po_stripe_5017,succeeded,,
GTW-0069,ORD-STRIPE-4018,289168,8416,0,280752,po_stripe_5018,succeeded,,
GTW-0070,ORD-STRIPE-4019,81495,2393,0,79102,po_stripe_5019,succeeded,,
GTW-0071,ORD-STRIPE-4020,104200,3052,0,101148,po_stripe_5020,succeeded,,
GTW-0072,ORD-STRIPE-4021,250550,7296,0,243254,po_stripe_5021,succeeded,,
GTW-0073,ORD-STRIPE-4022,47523,1408,0,46115,po_stripe_5022,succeeded,,
GTW-0074,ORD-STRIPE-4023,296528,8629,0,287899,po_stripe_5023,succeeded,,
GTW-0075,ORD-STRIPE-4024,34522,1031,0,33491,po_stripe_5024,succeeded,,
GTW-0076,ORD-STRIPE-4025,291423,8481,0,282942,po_stripe_5025,succeeded,,
GTW-0077,ORD-STRIPE-4026,56896,1680,0,55216,po_stripe_5026,succeeded,,
GTW-0078,ORD-STRIPE-4027,95194,2791,0,92403,po_stripe_5027,succeeded,,
GTW-0079,ORD-STRIPE-4028,262615,7646,0,254969,po_stripe_5028,succeeded,,
GTW-0080,ORD-STRIPE-4029,120065,3512,0,116553,po_stripe_5029,succeeded,,
GTW-0081,ORD-STRIPE-4030,38741,1153,0,37588,po_stripe_5030,succeeded,,
GTW-0082,ORD-STRIPE-4031,206691,6024,0,200667,po_stripe_5031,succeeded,,
GTW-0083,ORD-STRIPE-4032,212693,6198,0,206495,po_stripe_5032,succeeded,,
GTW-0084,ORD-STRIPE-4033,419078,12183,0,406895,po_stripe_5033,succeeded,,
GTW-0085,ORD-BUNDLE-7000,84845,2121,0,82724,po_bundle_batch_6000,succeeded,,
GTW-0086,ORD-BUNDLE-7001,75788,1895,0,73893,po_bundle_batch_6000,succeeded,,
GTW-0087,ORD-BUNDLE-7002,32289,807,0,31482,po_bundle_batch_6000,succeeded,,
GTW-0088,ORD-BUNDLE-7010,40534,1013,0,39521,po_bundle_batch_6001,succeeded,,
GTW-0089,ORD-BUNDLE-7011,19665,492,0,19173,po_bundle_batch_6001,succeeded,,
GTW-0090,ORD-BUNDLE-7012,87914,2198,0,85716,po_bundle_batch_6001,succeeded,,
GTW-0091,ORD-BUNDLE-7020,53104,1328,0,51776,po_bundle_batch_6002,succeeded,,
GTW-0092,ORD-BUNDLE-7021,19492,487,0,19005,po_bundle_batch_6002,succeeded,,
GTW-0093,ORD-BUNDLE-7030,74493,1862,0,72631,po_bundle_batch_6003,succeeded,,
GTW-0094,ORD-BUNDLE-7031,77909,1948,0,75961,po_bundle_batch_6003,succeeded,,
GTW-0095,ORD-BUNDLE-7032,81615,2040,0,79575,po_bundle_batch_6003,succeeded,,
GTW-0096,ORD-BUNDLE-7033,32635,816,0,31819,po_bundle_batch_6003,succeeded,,
GTW-0097,ORD-BUNDLE-7040,22500,562,0,21938,po_bundle_batch_6004,succeeded,,
GTW-0098,ORD-BUNDLE-7041,36356,909,0,35447,po_bundle_batch_6004,succeeded,,
GTW-0099,ORD-BUNDLE-7042,20981,525,0,20456,po_bundle_batch_6004,succeeded,,
GTW-0100,ORD-BUNDLE-7043,89992,2250,0,87742,po_bundle_batch_6004,succeeded,,
GTW-0101,ORD-BUNDLE-7050,42828,1071,0,41757,po_bundle_batch_6005,succeeded,,
GTW-0102,ORD-BUNDLE-7051,64923,1623,0,63300,po_bundle_batch_6005,succeeded,,
GTW-0103,ORD-BUNDLE-7052,27713,693,0,27020,po_bundle_batch_6005,succeeded,,
GTW-0104,ORD-BUNDLE-7053,86668,2167,0,84501,po_bundle_batch_6005,succeeded,,
GTW-0105,ORD-BUNDLE-7060,89924,2248,0,87676,po_bundle_batch_6006,succeeded,,
GTW-0106,ORD-BUNDLE-7061,17209,430,0,16779,po_bundle_batch_6006,succeeded,,
GTW-0107,ORD-BUNDLE-7062,93183,2330,0,90853,po_bundle_batch_6006,succeeded,,
GTW-0108,ORD-BUNDLE-7063,22745,569,0,22176,po_bundle_batch_6006,succeeded,,
GTW-0109,ORD-BUNDLE-7070,88503,2213,0,86290,po_bundle_batch_6007,succeeded,,
GTW-0110,ORD-BUNDLE-7071,86085,2152,0,83933,po_bundle_batch_6007,succeeded,,
GTW-0111,ORD-BUNDLE-7072,80522,2013,0,78509,po_bundle_batch_6007,succeeded,,
GTW-0112,ORD-BUNDLE-7073,53467,1337,0,52130,po_bundle_batch_6007,succeeded,,
GTW-0113,ORD-BUNDLE-7080,53180,1330,0,51850,po_bundle_batch_6008,succeeded,,
GTW-0114,ORD-BUNDLE-7081,43285,1082,0,42203,po_bundle_batch_6008,succeeded,,
GTW-0115,ORD-BUNDLE-7090,29154,729,0,28425,po_bundle_batch_6009,succeeded,,
GTW-0116,ORD-BUNDLE-7091,51321,1283,0,50038,po_bundle_batch_6009,succeeded,,
GTW-0117,ORD-BUNDLE-7092,71929,1798,0,70131,po_bundle_batch_6009,succeeded,,
GTW-0118,ORD-BUNDLE-7100,13220,330,0,12890,po_bundle_batch_6010,succeeded,,
GTW-0119,ORD-BUNDLE-7101,72068,1802,0,70266,po_bundle_batch_6010,succeeded,,
GTW-0120,ORD-BUNDLE-7110,25104,628,0,24476,po_bundle_batch_6011,succeeded,,
GTW-0121,ORD-BUNDLE-7111,21602,540,0,21062,po_bundle_batch_6011,succeeded,,
GTW-0122,ORD-BUNDLE-7112,82468,2062,0,80406,po_bundle_batch_6011,succeeded,,
GTW-0123,ORD-BUNDLE-7113,39938,998,0,38940,po_bundle_batch_6011,succeeded,,
GTW-0124,ORD-BUNDLE-7120,29361,734,0,28627,po_bundle_batch_6012,succeeded,,
GTW-0125,ORD-BUNDLE-7121,57745,1444,0,56301,po_bundle_batch_6012,succeeded,,
GTW-0126,ORD-BUNDLE-7122,21016,525,0,20491,po_bundle_batch_6012,succeeded,,
GTW-0127,ORD-BUNDLE-7130,49353,1234,0,48119,po_bundle_batch_6013,succeeded,,
GTW-0128,ORD-BUNDLE-7131,32676,817,0,31859,po_bundle_batch_6013,succeeded,,
GTW-0129,ORD-BUNDLE-7132,69433,1736,0,67697,po_bundle_batch_6013,succeeded,,
GTW-0130,ORD-BUNDLE-7140,51651,1291,0,50360,po_bundle_batch_6014,succeeded,,
GTW-0131,ORD-BUNDLE-7141,92173,2304,0,89869,po_bundle_batch_6014,succeeded,,
GTW-0132,ORD-BUNDLE-7142,81329,2033,0,79296,po_bundle_batch_6014,succeeded,,
GTW-0133,ORD-BUNDLE-7143,13025,326,0,12699,po_bundle_batch_6014,succeeded,,
GTW-0134,ORD-BUNDLE-7150,51240,1281,0,49959,po_bundle_batch_6015,succeeded,,
GTW-0135,ORD-BUNDLE-7151,25577,639,0,24938,po_bundle_batch_6015,succeeded,,
GTW-0136,ORD-BUNDLE-7152,29601,740,0,28861,po_bundle_batch_6015,succeeded,,
GTW-0137,ORD-BUNDLE-7153,46664,1167,0,45497,po_bundle_batch_6015,succeeded,,
GTW-0138,ORD-MISS-3001,145000,4235,0,140765,po_orphaned_unsettled,succeeded,,
GTW-0139,ORD-MISS-3002,220000,6410,0,213590,po_orphaned_unsettled,succeeded,,
GTW-0140,ORD-MISS-3003,98000,2872,0,95128,po_orphaned_unsettled,succeeded,,
GTW-0141,ORD-MISS-3004,315000,9165,0,305835,po_orphaned_unsettled,succeeded,,
GTW-0142,ORD-UNEXP-5001,300000,0,0,300000,po_corrupt_settle,succeeded,,
GTW-0143,ORD-UNEXP-5002,500000,0,0,500000,po_corrupt_settle,succeeded,,
GTW-0144,ORD-UNEXP-5003,420000,0,0,420000,po_corrupt_settle,succeeded,,
GTW-0145,ORD-REF-7001,-15000,0,0,-15000,po_refund_batch_7001,refunded,,
GTW-0146,ORD-REF-7002,-22000,0,0,-22000,po_refund_batch_7002,refunded,,
GTW-0147,ORD-REF-7003,-34000,0,0,-34000,po_refund_batch_7003,refunded,,
GTW-0148,ORD-REF-7004,-18000,0,0,-18000,po_refund_batch_7004,refunded,,
GTW-0149,ORD-PART-8001,-7500,0,0,-7500,po_partial_8001,refunded,,
GTW-0150,ORD-PART-8002,-9500,0,0,-9500,po_partial_8002,refunded,,
GTW-0151,ORD-PART-8003,-11000,0,0,-11000,po_partial_8003,refunded,,
GTW-0152,ORD-TAX-9001,108250,0,8250,100000,po_tax_settle_0,succeeded,,
GTW-0153,ORD-TAX-9002,216500,0,16500,200000,po_tax_settle_1,succeeded,,
GTW-0154,ORD-TAX-9003,162375,0,12375,150000,po_tax_settle_2,succeeded,,
GTW-0155,ORD-TAX-9004,303100,0,23100,280000,po_tax_settle_3,succeeded,,
GTW-0156,ORD-TIMING-10001,350000,0,0,350000,po_cutoff_batch_0,succeeded,,
GTW-0157,ORD-TIMING-10002,280000,0,0,280000,po_cutoff_batch_1,succeeded,,
GTW-0158,ORD-TIMING-10003,410000,0,0,410000,po_cutoff_batch_2,succeeded,,
